Category,Subcategory,Product,Description,Free Tier Offer Details,Product Pricing
,"","Amazon Polly","Amazon Polly is a service that turns text into lifelike speech, allowing you to create applications that talk, and build entirely new categories of speech-enabled products.","5 million characters per month in the Free and Paid plan.",""
,"","Amazon Transcribe","Amazon Transcribe uses a deep learning process called automatic speech recognition (ASR) to convert speech to text quickly and accurately.","12-month free trial with the Free plan. The trial includes: 60 minutes free trial.",""
,"","Amazon Lex","Amazon Lex is a service for building conversational interfaces into any application using voice and text.","Use credits to access Amazon Lex features in the Free and Paid plan",""
,"","Amazon Translate","Amazon Translate is a neural machine translation service that delivers fast, high-quality, and affordable language translation.","12-month free trial with the Free plan. The trial includes: 2 million characters per month.",""
,"Automated data extraction and analysis","Amazon Textract","Amazon Textract is a machine learning (ML) service that automatically extracts text, form, and structured data from documents.","3 months free trial of the Paid plan. The trial includes: 1,000 pages per month.",""
,"Automated data extraction and analysis","Amazon Comprehend","Amazon Comprehend is a natural language processing (NLP) service that uses machine learning to find insights and relationships in text.","12-month free trial of the Free plan. The trial includes: 50K units of text (5M characters) for each API per month. 25 custom classification API calls per month. 50K unit text per month. 3 free Redshift Jobs up to 1 MB each per month.",""
,"Automated data extraction and analysis","Amazon Augmented AI (A2I)","Amazon Augmented AI (A2I) allows you to build the workflows required for human review of ML predictions to guarantee precision.","500 credits to access Amazon A2I features in the Free and Paid plan. Including: Implementing human reviews and audits of ML predictions.",""
,"Computer vision","Amazon Rekognition","Amazon Rekognition makes it easy to add image and video analysis to your applications. You do not need any machine learning expertise to use this powerful machine learning service. Amazon Rekognition you can identify objects, people, text, scenes, and activities, as well as detect any inappropriate content.","500 credits to access Amazon Rekognition features in the Free and Paid plan. Including: Analyzing images and video objects within seconds.",""
,"Specialized services","Find Accurate Information Faster","Amazon Kendra is an enterprise search service that helps you search across different content repositories with built-in connectors.","30 day free trial of the Free plan. Up to The free tier covers up to for the first 30 days.",""
,"Specialized services","Amazon Personalize","Amazon Personalize enables developers to build applications and real-time personalized recommendations using the same personalization technology.","2-month free trial with the Free plan. The trial includes: Up to 20GB data processing & encryption, Up to 50 training hours per month, Up to 100,000 real-time recommendations requests per month.",""
,"Code and DevOps","Amazon DevOps Guru","Amazon DevOps Guru uses ML to detect anomalous operating patterns so you can identify operational issues before they impact your customers.","3 months free trial with the Free plan. The trial includes: Analysis of Amazon DevOps Guru hours from AWS CloudFormation stacks for applications. Up to 7,200 hours detected over 3 months. 50,000 DevOps Guru API calls.",""
,"Code and DevOps","Amazon Q Developer","Amazon Q Developer is your new generative artificial intelligence powered assistant for software development.","Amazon Q Developer is up during free during tier by the Free and Paid plan. (1) Conversational assistance for diverse programming tasks, (2) Security vulnerability scanning for over 15 programming languages. (3) All data maintained and used for service improvement purposes and user productivity. (4) 1000 Amazon Q Developer IDE usage per month. 100s of common tasks across the integrated development environment.",""
,"Code and DevOps","Amazon Bedrock","Amazon Bedrock is a comprehensive, intuitive, and flexible service for building generative AI applications and agents.","500 credits to access Amazon Bedrock features in both Free and Paid plans.",""
,"Healthcare","AWS HealthLake","Amazon HealthLake is a HIPAA-eligible service for healthcare providers, health insurers, and pharmaceutical companies to store, query, and analyze health data in the cloud.","This always free service is on the Free and Paid plan. Free plan offering unlimited data from certified partners to 5 GB data per month. Free data import. Free query requests.",""
,"","Amazon Aurora DSQL","Amazon Aurora DSQL is the fastest serverless distributed SQL database for always available applications.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 100K Distributed Processing Units, 1GB of storage",""
,"","Amazon RDS","Amazon RDS is a managed relational database service for MySQL, PostgreSQL, MariaDB, Oracle, or SQL Server.","Use credits to access Amazon RDS features in both Free and Paid plans. Free plan eligible instances include: db.t3.micro and db.t4g.micro and 4 engines: MySQL, PostgreSQL, MariaDB, and Microsoft SQL Server",""
,"","Amazon DynamoDB","Amazon DynamoDB is a serverless, NoSQL, fully managed database with single-digit millisecond performance at any scale.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 25 GB of storage, 25 provisioned Write Capacity Units (WCU), 25 provisioned Read Capacity Units (RCU)",""
,"","Amazon ElastiCache","Amazon ElastiCache is a serverless, fully managed caching service delivering microsecond latency with Valkey-, Memcached-, and Redis OSS compatibility.","Use credits to access features in the Free and Paid plans, including: Serverless cache creation in under a minute, Microsecond response times at scale",""
,"","AWS Database Migration Service","AWS Database Migration Service is trusted by customers to securely migrate 1.5M+ databases with minimal downtime and zero data loss.","Use credits to access features in the Free and Paid plan, including: Maintain high availability and minimal downtime during migration. Discover, assess, convert, and migrate your database and analytics workloads with automated migration.",""
,"","Amazon DocumentDB (with MongoDB compatibility)","Amazon DocumentDB is a fully managed, cost-effective, MongoDB-API compatible document database service.","30-day free trial with the Paid plan. The trial includes: 750 hours of DocumentDB on t3.medium instances, 5 GB of storage, 5 GB of backup storage, 30M IOs",""
,"","Amazon Neptune","Amazon Neptune is a serverless graph database and fully managed graph analytics service using popular open source APIs such as Gremlin, SPARQL, and openCypher.","30-day free trial with the Paid plan. The trial includes: 750 hours of Neptune t3.medium instance usage, 10 million I/O requests, 1 GB of storage, 1 GB of backup",""
,"","Amazon Keyspaces (for Apache Cassandra)","Amazon Keyspaces (for Apache Cassandra) is a scalable, highly available, and managed Apache Cassandra-compatible database service.","3-month free trial with the Paid plan. The trial includes: 30 million on-demand reads per month, 30 million on-demand writes per month, 1 GB of storage per month",""
,"","Amazon MemoryDB","Amazon MemoryDB is a Valkey- and Redis OSS-compatible, durable, in-memory database service for ultra-fast performance.","2-month free trial with the Paid plan. The trial includes: 750 hours of MemoryDB on t4g.small instances per month, 10 TB of data written per month for Valkey, 20 GB of data written per month for Redis OSS",""
,"","Amazon EC2","Amazon EC2 provides resizable compute capacity in the cloud, enabling users to host websites across multiple datacenters and scale their sites through load balancing, autoscaling, or external databases.","Use credits to access Amazon EC2 features in both Free and Paid plans. Free plan eligible instances include: T3.micro, T3.small, T4g.micro, T4g.small, C7i-flex.large, M7i-flex.large",""
,"","Amazon Lightsail","Amazon Lightsail is a Virtual Private Servers made easy that can be used to host simple websites built on common applications such as WordPress, Joomla, Drupal, and Magento.","90-day free trial with the Paid plan. The trial includes: The $3.50 USD Lightsail plan free for 90 days when using Linux/Unix, The $8 USD plan free for 90 days when using Lightsail for Microsoft Windows Server",""
,"","AWS Lambda","AWS Lambda is a compute service that runs your code in response to events and automatically manages the compute resources.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1,000,000 free requests per month, Up to 400,000 GB-seconds or 3.2 million seconds of compute time per month",""
,"","Elastic Load Balancing","Elastic Load Balancing automatically distributes incoming application traffic across multiple targets, such as Amazon EC2 instances, containers, IP addresses, Lambda functions, and virtual appliances.","Use credits to access features in both Free and Paid plans, including: Application Load Balancer, Network Load Balancer, Gateway Load Balancer",""
,"","Amazon S3","Amazon S3 is a secure, durable, and scalable object storage infrastructure that can be used to host static websites to deliver HTML, JavaScript, images, and video for sites that do not contain server-side scripting.","Use credits to access features in both Free and Paid plans, including: Storing data across multiple zones with 99.999999999% durability, Data protection with encryption, access control, and Block Public Access settings",""
,"","AWS Amplify Hosting","Amplify Hosting is a fully managed CI/CD and hosting service for fast, secure, and reliable static websites and server-side rendered web apps.","Use credits to access features in both Free and Paid plans, including: Support of modern web frameworks including React, Angular, and Vue",""
,"","Amazon CloudFront","CloudFront is a content delivery network (CDN) that secures and accelerates the delivery of static and dynamic content to end users.","This always free service is on the Free and Paid plan. Use your credits to evaluate beyond these monthly limits: 1 TB of data transfer out, 10M HTTP or HTTPS requests per month, 2M CloudFront Function invocations per month, 2M CloudFront KeyValueStore reads per month",""
,"","Amazon S3 Object Storage","Amazon Simple Storage Service (Amazon S3) is an object storage service that offers industry-leading scalability, data availability, security, and performance.","Use credits to access features in the Free and Paid plans, including: db.t3.micro and db.t4g.micro and 4 engines: MySQL, PostgreSQL, MariaDB, and Microsoft SQL Server",""
